Date,Kind,Model,Max Mode,Input (w/ Cache Write),Input (w/o Cache Write),Cache Read,Output Tokens,Total Tokens,Cost
"2025-11-05T22:41:05.320Z","Included","auto","No","5629","0","445440","2142","453211","0.13"
"2025-11-05T22:36:48.025Z","Included","auto","No","16357","0","790528","5938","812823","0.25"
"2025-11-05T22:34:26.899Z","Included","auto","No","13755","0","390912","2166","406833","0.13"
"2025-11-05T22:30:36.083Z","Included","auto","No","53743","0","386304","7892","447939","0.21"
"2025-11-05T14:02:54.269Z","Included","auto","No","14679","0","238848","6346","259873","0.12"
"2025-11-05T14:00:28.055Z","Included","auto","No","22300","0","142592","3475","168367","0.08"
"2025-11-05T13:25:36.653Z","Included","auto","No","242994","141161","531712","45488","961355","0.89"
"2025-11-05T13:16:42.034Z","Included","auto","No","19595","0","1067264","2447","1089306","0.31"
"2025-11-05T13:05:05.887Z","Included","auto","No","48701","0","2530560","18168","2597429","0.80"
"2025-11-05T12:59:43.558Z","Included","auto","No","39133","0","1124864","7184","1171181","0.37"
"2025-11-05T12:46:53.545Z","Included","auto","No","46502","0","1120512","6143","1173157","0.38"
"2025-11-05T12:40:11.594Z","Included","auto","No","91391","0","761600","9352","862343","0.36"
"2025-11-05T09:56:20.416Z","Included","auto","No","26022","0","343040","2741","371803","0.13"
"2025-11-05T09:41:07.145Z","Included","auto","No","45677","0","242176","2916","290769","0.14"
"2025-11-05T09:37:50.992Z","Included","auto","No","15875","0","123392","1440","140707","0.06"
"2025-11-05T09:36:09.121Z","Included","auto","No","36012","0","967168","2256","1005436","0.30"
"2025-11-05T09:33:32.792Z","Included","auto","No","21862","0","1178624","3236","1203722","0.34"
"2025-11-05T09:28:28.367Z","Included","auto","No","23042","0","778752","2854","804648","0.24"
"2025-11-05T09:25:07.125Z","Included","auto","No","22729","0","1007104","4172","1034005","0.31"
"2025-11-05T09:22:33.889Z","Included","auto","No","12096","0","798720","3576","814392","0.24"
"2025-11-05T09:19:50.243Z","Included","auto","No","41828","0","339712","1316","382856","0.15"
"2025-11-05T09:14:14.502Z","Included","auto","No","61945","0","1456640","19528","1538113","0.56"
"2025-11-05T09:12:36.726Z","Included","auto","No","22292","0","201472","4605","228369","0.11"
"2025-11-05T08:40:20.849Z","Included","auto","No","34865","0","100608","2774","138247","0.09"
"2025-11-05T08:12:57.091Z","Included","auto","No","22586","1534","234496","4772","263388","0.12"
"2025-11-05T07:59:59.106Z","Included","auto","No","55750","240995","250368","11890","559003","0.50"
"2025-11-05T07:47:16.951Z","Included","auto","No","16818","0","722432","6506","745756","0.24"
"2025-11-05T07:34:49.591Z","Included","auto","No","29267","0","668160","8215","705642","0.25"
"2025-11-05T07:23:53.860Z","Included","auto","No","161971","0","769792","9734","941497","0.45"
"2025-11-04T23:37:43.947Z","Included","auto","No","7984","0","412160","3344","423488","0.13"
"2025-11-04T23:34:09.698Z","Included","auto","No","15013","0","384768","2970","402751","0.13"
"2025-11-04T23:25:59.443Z","Included","auto","No","21331","0","488192","2883","512406","0.17"
"2025-11-04T23:20:06.557Z","Included","auto","No","15590","0","767744","6545","789879","0.25"
"2025-11-04T23:16:51.063Z","Included","auto","No","18352","0","188672","1344","208368","0.08"
"2025-11-04T23:12:30.014Z","Included","auto","No","94607","0","471040","6335","571982","0.27"
"2025-11-04T22:09:47.543Z","Included","auto","No","11275","0","308736","1025","321036","0.10"
"2025-11-04T22:08:09.196Z","Included","auto","No","9183","0","358656","1483","369322","0.11"
"2025-11-04T22:01:48.702Z","Included","auto","No","63387","0","133632","3799","200818","0.14"
"2025-11-04T21:50:47.695Z","Included","auto","No","19695","0","303616","6076","329387","0.14"
"2025-11-04T21:44:00.812Z","Included","auto","No","18882","0","111104","1819","131805","0.06"
"2025-11-04T21:41:13.269Z","Included","auto","No","59149","0","960512","4890","1024551","0.34"
"2025-11-04T21:30:25.096Z","Included","auto","No","37361","0","2546432","15063","2598856","0.77"
"2025-11-04T21:18:43.788Z","Included","auto","No","9433","0","689664","2795","701892","0.20"
"2025-11-04T21:15:00.911Z","Included","auto","No","5143","0","654848","1321","661312","0.18"
"2025-11-04T21:10:05.480Z","Included","auto","No","3845","0","380416","921","385182","0.11"
"2025-11-04T21:08:03.510Z","Included","auto","No","6885","0","485120","2070","494075","0.14"
"2025-11-04T21:03:08.686Z","Included","auto","No","10789","0","576256","2025","589070","0.17"
"2025-11-04T21:00:00.395Z","Included","auto","No","108552","0","781824","1841","892217","0.34"
"2025-11-04T16:14:56.308Z","Included","auto","No","12661","0","390912","3706","407279","0.14"
"2025-11-04T15:51:54.172Z","Included","auto","No","6872","0","362752","1615","371239","0.11"
"2025-11-04T15:50:45.695Z","Included","auto","No","50303","1063","469760","1481","522607","0.19"
"2025-11-04T15:42:35.773Z","Included","auto","No","53875","0","1250304","19158","1323337","0.49"
"2025-11-04T15:40:03.744Z","Included","auto","No","25163","0","96768","6317","128248","0.09"
